"gene","filtered_output2_260_WT_1_B2","filtered_output2_985_SOCS3_1_B2","filtered_output2_Tube1_SOCS3_2_B1","filtered_output2_Tube2_SOCS3_3_B1","filtered_output2_Tube3_WT_2_B1","filtered_output2_Tube4_WT_3_B1"
"ENSMUSG00000001627",3,0,0,0,5,0
"ENSMUSG00000001630",66,71,25,67,45,14
"ENSMUSG00000001632",103,180,111,73,98,54
"ENSMUSG00000001642",0,5,0,0,1,0
"ENSMUSG00000001655",0,0,0,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0
"ENSMUSG00000001657",1,0,1,0,0,0
"ENSMUSG00000001661",0,0,0,0,0,0
"ENSMUSG00000001663",93,103,52,37,47,53
"ENSMUSG00000001665",290,442,294,221,237,478
"ENSMUSG00000001666",108,158,111,118,103,179
"ENSMUSG00000001670",362,562,398,345,411,336
"ENSMUSG00000001672",267,272,102,175,70,75
"ENSMUSG00000001674",171,179,64,88,114,28
"ENSMUSG00000001687",154,123,65,35,19,91
"ENSMUSG00000001700",15,37,21,13,5,1
"ENSMUSG00000001707",0,0,0,0,0,0
"ENSMUSG00000001729",1586,1669,1906,1747,1474,1854
"ENSMUSG00000001739",55,99,34,24,36,44
"ENSMUSG00000001741",0,0,0,0,0,0
"ENSMUSG00000001750",3391,2830,5172,4167,3226,3872
"ENSMUSG00000001751",185,213,164,179,263,207
"ENSMUSG00000001755",0,0,0,4,1,0
"ENSMUSG00000001761",1176,2019,2464,2734,2607,2570
"ENSMUSG00000001763",1765,1093,1584,640,582,889
"ENSMUSG00000001767",146,254,39,43,30,71
"ENSMUSG00000001768",182,265,59,96,85,61
"ENSMUSG00000001773",0,1,1,0,1,0
"ENSMUSG00000001774",3,0,0,3,0,0
"ENSMUSG00000001783",0,1,0,0,0,0
"ENSMUSG00000001785",25,29,11,21,13,17
"ENSMUSG00000001786",1139,1424,1491,1229,1047,1174
"ENSMUSG00000001794",53,79,42,44,74,105
"ENSMUSG00000001802",32,34,7,29,11,38
"ENSMUSG00000001804",5,4,0,1,4,0
"ENSMUSG00000001815",4,0,0,1,1,1
"ENSMUSG00000001819",2,14,16,8,1,0
"ENSMUSG00000001823",20,1,9,11,7,4
"ENSMUSG00000001827",1623,1399,2552,1344,1742,2059
"ENSMUSG00000001829",1002,1408,889,899,865,781
"ENSMUSG00000001833",37,44,13,21,13,9
"ENSMUSG00000001844",591,526,928,578,528,659
"ENSMUSG00000001847",1161,1205,1495,1276,1482,1075
"ENSMUSG00000001855",28,12,35,15,38,7
"ENSMUSG00000001864",0,0,0,0,0,0
"ENSMUSG00000001865",0,0,0,1,0,0
"ENSMUSG00000001870",243,331,445,389,419,423
"ENSMUSG00000001891",908,930,608,665,523,525
"ENSMUSG00000001901",235,404,396,604,298,334
"ENSMUSG00000001909",451,523,214,294,291,257
"ENSMUSG00000001910",12,42,10,9,13,23
"ENSMUSG00000001911",286,240,392,239,271,228
"ENSMUSG00000001918",324,510,74,229,206,102
"ENSMUSG00000001924",4,0,2,1,2,2
"ENSMUSG00000001930",350,526,841,245,581,272
"ENSMUSG00000001942",461,468,931,411,508,665
"ENSMUSG00000001943",0,12,17,4,4,0
"ENSMUSG00000001946",5,7,3,7,8,2
"ENSMUSG00000001948",143,143,104,113,102,64
"ENSMUSG00000001962",388,326,427,430,353,483
"ENSMUSG00000001964",2,5,1,2,4,2
"ENSMUSG00000001983",0,0,0,0,0,4
"ENSMUSG00000001985",0,0,0,0,0,0
"ENSMUSG00000001986",0,0,0,0,0,0
"ENSMUSG00000001988",189,145,171,173,116,113
"ENSMUSG00000001995",6,79,6,17,13,24
"ENSMUSG00000001998",1453,1588,1615,1535,1318,1273
"ENSMUSG00000001999",482,443,586,546,393,412
"ENSMUSG00000002006",0,0,0,0,1,0
"ENSMUSG00000002007",0,1,0,1,0,0
"ENSMUSG00000002010",0,0,8,0,0,0
"ENSMUSG00000002012",0,0,0,0,0,0
"ENSMUSG00000002014",0,0,0,0,1,0
"ENSMUSG00000002015",0,0,0,0,0,0
"ENSMUSG00000002017",0,0,0,0,0,0
"ENSMUSG00000002020",566,885,865,741,743,1377
